#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2005am   0.0078933 0.0089667 u 0.730 0.003 14.219 0.006  -3.3 0.0433 0.0043  1.398e-06   Anon   CSP
SN2005am   0.0078933 0.0089667 V 0.730 0.003 13.620 0.003  -2.0 0.0433 0.0043  1.913e-06   Anon   CSP
SN2005be   0.0350000 0.0355767 B 0.760 0.018 16.943 0.055   6.4 0.0294 0.0029 -2.813e-05   Anon   CSP
SN2005be   0.0350000 0.0355767 g 0.760 0.018 16.880 0.032   6.1 0.0294 0.0029 -1.895e-05   Anon   CSP
SN2005be   0.0350000 0.0355767 i 0.760 0.018 17.529 0.059   8.9 0.0294 0.0029 -2.282e-05   Anon   CSP
SN2005be   0.0350000 0.0355767 r 0.760 0.018 17.017 0.030   5.1 0.0294 0.0029 -2.728e-05   Anon   CSP
SN2005be   0.0350000 0.0355767 u 0.760 0.018 17.384 0.082   8.0 0.0294 0.0029 -3.377e-05   Anon   CSP
SN2005be   0.0350000 0.0355767 V 0.760 0.018 16.914 0.039   5.2 0.0294 0.0029 -1.895e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 B 1.002 0.027 15.873 0.049   1.7 0.0264 0.0026 -4.257e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 g 1.002 0.027 15.844 0.029   2.5 0.0264 0.0026 -4.975e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 i 1.002 0.027 16.584 0.063   5.9 0.0264 0.0026 -3.265e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 r 1.002 0.027 15.942 0.029   1.0 0.0264 0.0026 -2.153e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 u 1.002 0.027 16.255 0.076   4.0 0.0264 0.0026 -9.595e-05   Anon   CSP
SN2005bg   0.0230700 0.0241567 V 1.002 0.027 15.828 0.037   0.5 0.0264 0.0026 -4.146e-05   Anon   CSP
SN2005bl   0.0240433 0.0251133 B 0.387 0.012 18.511 0.030  -6.5 0.0250 0.0025  1.043e-04   Anon   CSP
SN2005bl   0.0240433 0.0251133 g 0.387 0.012 18.148 0.025  -6.7 0.0250 0.0025  9.045e-05   Anon   CSP
SN2005bl   0.0240433 0.0251133 i 0.387 0.012 17.834 0.032  -8.2 0.0250 0.0025  9.844e-05   Anon   CSP
SN2005bl   0.0240433 0.0251133 r 0.387 0.012 17.592 0.026 -10.1 0.0250 0.0025  1.185e-04   Anon   CSP
SN2005bl   0.0240433 0.0251133 u 0.387 0.012 19.622 0.099  -4.8 0.0250 0.0025 -3.011e-05   Anon   CSP
SN2005bl   0.0240433 0.0251133 V 0.387 0.012 17.806 0.022  -7.8 0.0250 0.0025  6.691e-05   Anon   CSP
SN2005bo   0.0138867 0.0150133 B 0.850 0.007 15.669 0.005  -0.5 0.0396 0.0040  1.565e-06   Anon   CSP
SN2005bo   0.0138867 0.0150133 g 0.850 0.007 15.511 0.005  -0.8 0.0396 0.0040 -8.666e-08   Anon   CSP
SN2005bo   0.0138867 0.0150133 i 0.850 0.007 15.722 0.008   2.4 0.0396 0.0040 -1.844e-05   Anon   CSP
