#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs      Host   Source
SN2011fe   0.0008030 0.0012072 H 0.946 0.003 10.757 0.007 -10.8 0.0077 0.0008  8.873e-06  M101   R12M12
SN2011fe   0.0008030 0.0012072 V 0.946 0.003  9.968 0.003 -16.9 0.0077 0.0008  2.608e-06  M101   R12M12
SN2011fe   0.0008030 0.0012072 B 0.946 0.003  9.999 0.006 -15.6 0.0077 0.0008  4.932e-06  M101   R12M12
SN2012cg   0.0014580 0.0025798 B 1.056 0.008 12.029 0.009 -17.6 0.0179 0.0018  2.669e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 i 1.056 0.008 12.455 0.008 -13.4 0.0179 0.0018  1.707e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 V 1.056 0.008 11.929 0.006 -18.5 0.0179 0.0018  2.308e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 r 1.056 0.008 12.004 0.006 -18.5 0.0179 0.0018  2.549e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 V 1.056 0.008 11.929 0.006 -17.5 0.0179 0.0018  2.308e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 u 1.056 0.008 12.411 0.015 -13.3 0.0179 0.0018  4.012e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 H 1.056 0.008 12.577 0.021 -10.4 0.0179 0.0018  9.911e-06  N4424  CfA
SN2012cg   0.0014580 0.0025798 B 1.056 0.008 12.029 0.009 -16.6 0.0179 0.0018  2.669e-05  N4424  CfA
SN2012cg   0.0014580 0.0025798 J 1.056 0.008 12.318 0.020 -10.4 0.0179 0.0018  2.118e-05  N4424  CfA
SN2012fr   0.0050000 0.0046757 B 1.122 0.005 11.958 0.004 -12.9 0.0177 0.0018  5.915e-06  N1365  CSP
SN2012fr   0.0050000 0.0046757 g 1.122 0.005 11.910 0.004 -12.9 0.0177 0.0018  3.464e-06  N1365  CSP
SN2012fr   0.0050000 0.0046757 i 1.122 0.005 12.811 0.006  -9.8 0.0177 0.0018  3.155e-06  N1365  CSP
SN2012fr   0.0050000 0.0046757 H 1.122 0.005 13.024 0.020  -6.4 0.0177 0.0018  3.785e-07  N1365  CSP
SN2012fr   0.0050000 0.0046757 J 1.122 0.005 12.206 0.016  -6.0 0.0177 0.0018  1.524e-05  N1365  CSP
SN2012fr   0.0050000 0.0046757 r 1.122 0.005 12.077 0.005 -15.1 0.0177 0.0018  1.083e-05  N1365  CSP
SN2012fr   0.0050000 0.0046757 u 1.122 0.005 12.383 0.005 -11.4 0.0177 0.0018  5.237e-06  N1365  CSP
SN2012fr   0.0050000 0.0046757 V 1.122 0.005 11.956 0.004 -13.9 0.0177 0.0018  5.843e-06  N1365  CSP
SN2012fr   0.0050000 0.0046757 Y 1.122 0.005 12.785 0.025  -4.3 0.0177 0.0018  1.827e-06  N1365  CSP
SN2012ht   0.0035567 0.0046846 B 0.853 0.002 12.998 0.006 -13.2 0.0252 0.0025  5.782e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 g 0.853 0.002 12.972 0.005 -13.5 0.0252 0.0025  5.270e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 i 0.853 0.002 13.706 0.007 -10.4 0.0252 0.0025  3.365e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 H 0.853 0.002 13.648 0.010  -7.2 0.0252 0.0025  4.687e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 r 0.853 0.002 13.112 0.005 -14.5 0.0252 0.0025  3.000e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 u 0.853 0.002 13.538 0.007 -11.7 0.0252 0.0025  2.598e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 V 0.853 0.002 12.995 0.006 -14.5 0.0252 0.0025  3.922e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 Y 0.853 0.002 13.525 0.008  -7.1 0.0252 0.0025  1.448e-06  N3447  CSP
SN2012ht   0.0035567 0.0046846 J 0.853 0.002 13.432 0.008  -7.5 0.0252 0.0025  2.416e-06  N3447  CSP
SN2013dy   0.0038890 0.0028843 B 1.099 0.006 12.750 0.006 -16.7 0.1320 0.0132  1.298e-05  N7250  Pan15
SN2013dy   0.0038890 0.0028843 H 1.099 0.006 13.032 0.019  -5.5 0.1320 0.0132  3.122e-07  N7250  Pan15
SN2013dy   0.0038890 0.0028843 V 1.099 0.006 12.561 0.005 -17.6 0.1320 0.0132  1.418e-05  N7250  Pan15
SN2013dy   0.0038890 0.0028843 J 1.099 0.006 12.788 0.020  -5.3 0.1320 0.0132 -4.928e-07  N7250  Pan15
SN2013dy   0.0038890 0.0028843 r 1.099 0.006 12.604 0.006 -18.8 0.1320 0.0132  2.368e-05  N7250  Pan15
SN2013dy   0.0038890 0.0028843 Y 1.099 0.006 12.912 0.013  -5.1 0.1320 0.0132  6.830e-06  N7250  Pan15
SN2013dy   0.0038890 0.0028843 i 1.099 0.006 13.193 0.006 -13.5 0.1320 0.0132  1.187e-05  N7250  Pan15
SN2015F    0.0048867 0.0052804 J 0.846 0.004 12.881 0.040 -10.9 0.1749 0.0175  1.271e-05  N2442  CSP
SN2015F    0.0048867 0.0052804 g 0.846 0.004 12.680 0.007 -14.9 0.1749 0.0175  1.172e-05  N2442  CSP
SN2015F    0.0048867 0.0052804 i 0.846 0.004 13.167 0.008 -11.8 0.1749 0.0175  6.040e-06  N2442  CSP
SN2015F    0.0048867 0.0052804 H 0.846 0.004 13.003 0.033 -10.6 0.1749 0.0175  1.863e-05  N2442  CSP
SN2015F    0.0048867 0.0052804 r 0.846 0.004 12.668 0.006 -15.9 0.1749 0.0175  5.258e-06  N2442  CSP
SN2015F    0.0048867 0.0052804 u 0.846 0.004 13.213 0.008 -13.0 0.1749 0.0175  4.300e-06  N2442  CSP
SN2015F    0.0048867 0.0052804 V 0.846 0.004 12.662 0.006 -15.9 0.1749 0.0175  6.509e-06  N2442  CSP
SN2015F    0.0048867 0.0052804 Y 0.846 0.004 12.843 0.035 -10.6 0.1749 0.0175  1.968e-05  N2442  CSP
SN2015F    0.0048867 0.0052804 B 0.846 0.004 12.735 0.007 -14.6 0.1749 0.0175  1.328e-05  N2442  CSP
