      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2006br 0.909 0.029 0.024573 0.025523  18.947  0.075  18.009  0.052 999.999  9.999  18.460  0.030  17.697  0.037  17.857  0.069  17.217  0.093  16.876  0.116  17.086  0.127 0.99700   0.04500 2.227 0.201        -0.00726     CSP       0        0
SN2006ef 0.837 0.020 0.017870 0.017027  15.396  0.070  15.414  0.048  15.815  0.109  15.363  0.044  15.512  0.037  16.097  0.067 999.999  9.999 999.999  9.999 999.999  9.999 0.03000   0.02300 1.706 1.327        -0.00184     CSP       0        0
SN2006ej 0.829 0.018 0.020437 0.019337  15.725  0.053  15.697  0.038  16.177  0.080  15.678  0.029  15.764  0.033  16.358  0.063  16.138  0.030  15.985  0.079  16.311  0.067 0.06700   0.02200 1.888 1.050        -0.01016     CSP       0        0
SN2006eq 0.621 0.025 0.049467 0.048367  18.534  0.065  18.260  0.046  19.463  0.203  18.367  0.038  18.249  0.033  18.623  0.070  18.466  0.067  18.295  0.108  18.023  0.174 0.19600   0.03300 2.117 0.618        -0.01137     CSP       0        0
SN2006et 1.093 0.008 0.022157 0.021647  15.980  0.005  15.819  0.006  16.544  0.015  15.878  0.006  15.825  0.006  16.328  0.010  16.309  0.015  16.184  0.017  16.423  0.020 0.23200   0.01500 2.386 0.273        -0.00257     CSP       0        0
SN2006ev 0.845 0.019 0.028713 0.027600  17.128  0.053  16.917  0.039 999.999  9.999  17.008  0.031  16.936  0.029  17.425  0.061  17.119  0.059  17.062  0.081  17.120  0.051 0.24000   0.03100 2.359 0.523        -0.01219     CSP       0        0
SN2006fw 0.888 0.049 0.082943 0.081987  19.065  0.048  18.982  0.055  19.543  0.154  18.853  0.061  18.765  0.041  19.176  0.075 999.999  9.999 999.999  9.999 999.999  9.999 0.28700   0.03300 2.216 0.696        -0.00451     CSP       0        0
SN2006gj 0.656 0.007 0.028333 0.026967  17.647  0.009  17.364  0.008  18.361  0.021  17.482  0.007  17.265  0.007  17.561  0.013  17.270  0.061  17.071  0.094  17.336  0.081 0.27900   0.02100 2.408 0.381        -0.00545     CSP       0        0
SN2006gt 0.562 0.011 0.044740 0.043643  18.212  0.012  17.975  0.010  19.008  0.038  18.044  0.009  18.049  0.010  18.377  0.016  18.205  0.042  18.117  0.057  18.279  0.133 0.08100   0.01900 2.018 1.000        -0.00722     CSP       0        0
SN2006hb 0.673 0.018 0.015333 0.015337  15.525  0.049  15.373  0.036  16.237  0.075  15.390  0.028  15.459  0.026  15.850  0.058  15.715  0.054  15.564  0.071  15.805  0.040 0.09400   0.02400 1.757 0.686        -0.00811     CSP       0        0
SN2006hx 0.988 0.017 0.045463 0.044403  17.556  0.022  17.407  0.023  18.098  0.052  17.501  0.028  17.475  0.030  17.827  0.043  17.967  0.055  17.756  0.065  17.903  0.072 0.21700   0.02100 2.350 0.461        -0.00593     CSP       0        0
SN2006is 1.327 0.026 0.031333 0.031420  16.094  0.055  16.120  0.040  16.454  0.087  16.024  0.035  16.343  0.031  17.110  0.068  17.248  0.083  16.673  0.107  17.170  0.065 0.00700   0.00900 1.564 1.386        -0.00249     CSP       0        0
SN2006kf 0.735 0.004 0.021287 0.020800  15.955  0.006  15.942  0.005  16.428  0.012  15.897  0.006  15.987  0.005  16.489  0.008  16.316  0.017  16.259  0.013  16.401  0.032 0.04500   0.02400 1.789 1.199        -0.00881     CSP       0        0
SN2006lu 1.051 0.022 0.053367 0.054397  17.519  0.052  17.533  0.039  17.753  0.086  17.475  0.030  17.678  0.029  18.304  0.064  18.444  0.142 999.999  9.999 999.999  9.999 0.03000   0.02300 1.749 1.275        -0.00163     CSP       0        0
SN2006mr 0.239 0.004 0.005867 0.005510  15.261  0.022  14.590  0.021  16.443  0.036  14.922  0.022  14.438  0.027  14.395  0.032  13.974  0.040  13.999  0.041  13.912  0.044 0.02500   0.03500 2.000 1.346         0.00836     CSP       0        0
SN2006ob 0.720 0.012 0.059197 0.058257  18.266  0.016  18.172  0.016  18.362  0.048  18.170  0.014  18.266  0.013  18.686  0.021  18.634  0.104  18.604  0.128  18.696  0.177 0.06200   0.01700 2.005 1.034        -0.00438     CSP       0        0
SN2006os 0.914 0.024 0.032787 0.032080  17.612  0.057  17.286  0.042  18.325  0.131  17.458  0.033  17.143  0.031  17.544  0.069  17.314  0.035  17.279  0.039  17.332  0.104 0.41900   0.03900 2.091 0.367        -0.01093     CSP       0        0
SN2006py 0.950 0.026 0.057860 0.056643  17.921  0.021  17.813  0.016  18.279  0.054  17.826  0.013  17.896  0.012  18.443  0.023 999.999  9.999 999.999  9.999 999.999  9.999 0.14600   0.02000 2.008 0.697        -0.00291     CSP       0        0
SN2007A  1.012 0.011 0.017633 0.016463  15.712  0.008  15.505  0.007  16.081  0.016  15.606  0.008  15.521  0.007  15.990  0.010  15.904  0.016  15.716  0.021  15.977  0.051 0.26500   0.02000 2.453 0.347        -0.00528     CSP       0        0
SN2007N  0.312 0.008 0.012870 0.014000  18.013  0.021  17.075  0.013  20.153  0.153  17.504  0.019  16.800  0.015  16.935  0.021  16.489  0.064  16.346  0.076  16.344  0.055 0.43600   0.03700 1.307 0.276        -0.00349     CSP       0        0
SN2007S  1.115 0.009 0.013870 0.015023  15.809  0.010  15.409  0.007  16.428  0.018  15.577  0.007  15.298  0.009  15.711  0.013  15.581  0.017  15.363  0.015  15.540  0.017 0.47500   0.01700 2.332 0.149        -0.00171     CSP       0        0
